,symboling,normalized-losses,make,fuel-type,aspiration,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,nlimpute,num_doors,num_cylinders
156,2,134.0,toyota,gas,std,convertible,rwd,front,98.4,176.2,65.6,53.0,2975,ohc,146,mpfi,3.62,3.50,9.3,116,4800,24,30,17669.0,toyota,2,4
157,-1,65.0,toyota,gas,std,sedan,fwd,front,102.4,175.6,66.5,54.9,2326,ohc,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948.0,toyota,4,4
158,-1,65.0,toyota,diesel,turbo,sedan,fwd,front,102.4,175.6,66.5,54.9,2480,ohc,110,idi,3.27,3.35,22.5,73,4500,30,33,10698.0,toyota,4,4
159,-1,65.0,toyota,gas,std,hatchback,fwd,front,102.4,175.6,66.5,53.9,2414,ohc,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988.0,toyota,4,4
160,-1,65.0,toyota,gas,std,sedan,fwd,front,102.4,175.6,66.5,54.9,2414,ohc,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898.0,toyota,4,4
161,-1,65.0,toyota,gas,std,hatchback,fwd,front,102.4,175.6,66.5,53.9,2458,ohc,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248.0,toyota,4,4
162,3,197.0,toyota,gas,std,hatchback,rwd,front,102.9,183.5,67.7,52.0,2976,dohc,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558.0,toyota,2,6
163,3,197.0,toyota,gas,std,hatchback,rwd,front,102.9,183.5,67.7,52.0,3016,dohc,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998.0,toyota,2,6
164,-1,90.0,toyota,gas,std,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690.0,toyota,4,6
165,-1,110.29032258064517,toyota,gas,std,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750.0,toyota,4,6
166,2,122.0,volkswagen,diesel,std,sedan,fwd,front,97.3,171.7,65.5,55.7,2261,ohc,97,idi,3.01,3.40,23.0,52,4800,37,46,7775.0,volkswagen,2,4
167,2,122.0,volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,55.7,2209,ohc,109,mpfi,3.19,3.40,9.0,85,5250,27,34,7975.0,volkswagen,2,4
168,2,94.0,volkswagen,diesel,std,sedan,fwd,front,97.3,171.7,65.5,55.7,2264,ohc,97,idi,3.01,3.40,23.0,52,4800,37,46,7995.0,volkswagen,4,4
169,2,94.0,volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,55.7,2212,ohc,109,mpfi,3.19,3.40,9.0,85,5250,27,34,8195.0,volkswagen,4,4
170,2,94.0,volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,55.7,2275,ohc,109,mpfi,3.19,3.40,9.0,85,5250,27,34,8495.0,volkswagen,4,4
171,2,94.0,volkswagen,diesel,turbo,sedan,fwd,front,97.3,171.7,65.5,55.7,2319,ohc,97,idi,3.01,3.40,23.0,68,4500,37,42,9495.0,volkswagen,4,4
172,2,94.0,volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,ohc,109,mpfi,3.19,3.40,10.0,100,5500,26,32,9995.0,volkswagen,4,4
173,3,121.25,volkswagen,gas,std,convertible,fwd,front,94.5,159.3,64.2,55.6,2254,ohc,109,mpfi,3.19,3.40,8.5,90,5500,24,29,11595.0,volkswagen,2,4
174,3,256.0,volkswagen,gas,std,hatchback,fwd,front,94.5,165.7,64.0,51.4,2221,ohc,109,mpfi,3.19,3.40,8.5,90,5500,24,29,9980.0,volkswagen,2,4
175,0,121.25,volkswagen,gas,std,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,136,mpfi,3.19,3.40,8.5,110,5500,19,24,13295.0,volkswagen,4,5
176,0,121.25,volkswagen,diesel,turbo,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,97,idi,3.01,3.40,23.0,68,4500,33,38,13845.0,volkswagen,4,4
177,0,121.25,volkswagen,gas,std,wagon,fwd,front,100.4,183.1,66.9,55.1,2563,ohc,109,mpfi,3.19,3.40,9.0,88,5500,25,31,12290.0,volkswagen,4,4
178,-2,103.0,volvo,gas,std,sedan,rwd,front,104.3,188.8,67.2,56.2,2912,ohc,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940.0,,4,4
179,-1,74.0,volvo,gas,std,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415.0,,4,4
180,-2,103.0,volvo,gas,std,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985.0,,4,4
181,-1,74.0,volvo,gas,std,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515.0,,4,4
182,-2,103.0,volvo,gas,turbo,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420.0,,4,4
183,-1,74.0,volvo,gas,turbo,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950.0,,4,4
184,-1,95.0,volvo,gas,std,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845.0,,4,4
185,-1,95.0,volvo,gas,turbo,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045.0,,4,4
186,-1,95.0,volvo,gas,std,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485.0,,4,6
187,-1,95.0,volvo,diesel,turbo,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,145,idi,3.01,3.40,23.0,106,4800,26,27,22470.0,,4,6
188,-1,95.0,volvo,gas,turbo,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625.0,,4,4
